,City,Cloudiness ,Country ,Date,Humidity ,Lat,Lng,Max Temp,Wind Speed
287,marfino,0,ru,1561622149,77,56.07,37.56,17.22,5.0
288,paysandu,0,uy,1561621892,80,-32.32,-58.08,5.56,0.45
289,dingle,100,ie,1561621661,86,11.0,122.67,26.06,2.14
290,pio ix,46,br,1561622150,88,-6.83,-40.61,18.46,1.57
291,umm kaddadah,0,sd,1561622150,32,13.6,26.69,33.56,5.59
292,puerto baquerizo moreno,100,ec,1561622151,89,-0.9,-89.6,22.36,6.11
293,tura,94,ru,1561621564,72,64.27,100.22,19.96,1.87
294,dajal,7,pk,1561622151,13,29.56,70.38,43.36,5.92
295,mangrol,5,in,1561621659,22,25.33,76.51,42.06,3.66
296,vostok,100,ru,1561621377,99,46.45,135.83,12.36,2.11
297,suzun,0,ru,1561622152,50,53.78,82.32,25.96,2.59
298,san jose,100,gt,1561621409,87,15.79,120.99,26.46,2.58
299,buchanan,90,lr,1561621662,94,5.88,-10.05,24.0,5.55
300,barahona,34,do,1561622153,92,18.21,-71.1,22.16,1.26
301,henniker,90,us,1561622153,93,43.18,-71.82,17.78,0.24
302,torbay,40,ca,1561621485,81,47.66,-52.73,7.0,2.1
303,jalu,0,ly,1561621554,40,29.03,21.55,32.56,4.62
304,shunyi,0,cn,1561622154,34,40.13,116.65,38.89,3.0
305,ust-shonosha,100,ru,1561622154,46,61.15,41.34,16.46,3.28
306,ajaccio,0,fr,1561622155,74,41.93,8.74,32.0,3.6
307,tuensang,99,in,1561622155,81,26.24,94.81,27.36,2.92
308,danielskuil,0,za,1561622155,41,-28.19,23.54,16.36,12.84
309,ihiala,100,ng,1561622156,95,5.86,6.86,23.76,1.74
310,dunedin,33,nz,1561621933,60,-45.87,170.5,11.11,0.45
311,hammerfest,40,no,1561621635,81,70.66,23.68,7.0,15.4
312,inverell,57,au,1561622157,68,-29.78,151.11,13.89,2.24
313,cadillac,90,us,1561622157,93,44.25,-85.4,18.0,2.11
314,tecpan,77,mx,1561622158,90,14.76,-90.99,13.89,0.89
315,pudozh,100,ru,1561622158,41,61.81,36.54,19.56,2.99
316,la ronge,40,ca,1561621624,93,55.1,-105.3,11.0,1.5
317,bayshore gardens,1,us,1561622158,69,27.43,-82.59,26.11,3.1
318,kuminskiy,89,ru,1561622159,45,58.67,66.57,16.66,2.78
319,okhotsk,60,ru,1561621587,42,59.36,143.24,25.16,1.72
320,beloha,64,mg,1561622159,66,-25.17,45.06,22.96,7.71
321,port hawkesbury,100,ca,1561622160,100,45.62,-61.36,12.22,3.1
322,puerto montt,97,cl,1561622160,89,-41.47,-72.94,7.66,5.4
323,petropavlovsk-kamchatskiy,75,ru,1561621669,66,53.05,158.65,11.0,5.0
324,alice springs,63,au,1561622161,22,-23.7,133.88,20.0,3.1
325,batticaloa,56,lk,1561621953,27,7.71,81.69,38.56,1.66
326,faya,0,td,1561622161,11,18.39,42.45,32.0,7.2
327,antsirabe,0,mg,1561622162,60,-19.87,47.03,18.36,3.47
328,vardo,1,no,1561621671,93,39.62,-77.74,22.78,1.04
329,north myrtle beach,1,us,1561622162,94,33.83,-78.68,24.0,2.1
330,dalby,20,au,1561622163,63,-27.18,151.26,17.78,6.2
331,portland,90,au,1561622163,100,43.66,-70.25,17.0,2.1
332,lagoa,0,pt,1561622164,72,37.14,-8.45,21.11,4.1
333,longyearbyen,75,sj,1561622164,96,78.22,15.63,4.0,4.6
334,kopavogur,90,is,1561622164,100,64.11,-21.91,11.67,7.2
335,ambilobe,0,mg,1561622165,52,-13.19,49.05,29.96,1.55
336,trofors,75,no,1561622165,81,65.54,13.39,10.0,1.5
337,ringkobing,75,dk,1561622165,82,56.09,8.24,15.0,9.3
338,atambua,13,id,1561621633,64,-9.11,124.89,25.96,4.36
339,zhigansk,68,ru,1561621597,34,66.77,123.37,26.76,4.45
340,lasa,0,cn,1561622166,74,34.92,32.53,31.11,5.1
341,san carlos,100,bo,1561622167,91,15.93,120.35,25.26,6.71
342,yatou,75,cn,1561622168,100,3.63,9.81,24.0,1.0
343,shirokiy,100,ru,1561622168,85,53.87,39.17,17.22,4.84
344,sola,100,vu,1561621911,54,-3.17,33.8,22.76,1.19
345,sarana,0,ru,1561622169,61,56.48,57.73,16.66,3.94
346,baruun-urt,100,mn,1561622169,15,46.68,113.28,27.46,9.77
347,ozernovskiy,100,ru,1561622169,96,51.5,156.52,4.56,3.02
348,road town,20,vg,1561622170,78,18.42,-64.62,27.0,3.1
349,boa vista,40,br,1561622141,83,2.82,-60.67,25.0,4.1
350,ancud,90,cl,1561621380,93,-41.87,-73.83,7.0,3.6
351,eyl,0,so,1561622171,36,7.98,49.82,33.36,12.87
352,ahuimanu,40,us,1561622000,100,21.44,-157.84,26.67,1.5
353,chicama,20,pe,1561622172,88,-7.84,-79.15,17.0,1.5
354,muravlenko,99,ru,1561622172,50,63.79,74.5,12.96,7.95
355,inhambane,40,mz,1561622173,73,-23.87,35.38,22.0,1.5
356,barstow,1,us,1561622173,65,31.46,-103.39,26.0,7.2
357,qasigiannguit,43,gl,1561621687,86,68.82,-51.19,4.0,2.1
358,northam,75,au,1561622174,81,-31.65,116.67,12.0,7.7
359,coihaique,0,cl,1561622174,97,-45.58,-72.07,1.0,2.1
360,ihosy,34,mg,1561622174,69,-22.4,46.13,18.86,6.37
361,vanimo,75,pg,1561622175,70,-2.67,141.3,28.86,1.39
362,hay river,90,ca,1561622175,93,60.82,-115.79,10.0,1.5
363,dicabisagan,100,ph,1561622175,87,17.08,122.42,26.76,1.76
364,cidreira,0,br,1561622176,66,-30.17,-50.22,6.36,1.01
365,sonoita,1,mx,1561622176,29,31.68,-110.66,28.33,1.5
366,shingu,75,jp,1561622176,94,33.72,135.99,25.0,10.3
367,westport,20,nz,1561622177,88,41.14,-73.36,21.67,3.6
368,algiers,75,dz,1561622177,88,29.94,-90.04,27.22,1.16
369,chicaman,65,gt,1561622177,98,15.4,-90.73,13.56,1.02
370,marsh harbour,21,bs,1561622178,75,26.54,-77.06,27.96,3.88
371,ahipara,1,nz,1561622178,75,-35.17,173.16,14.36,6.87
372,zeya,100,ru,1561622179,37,53.74,127.27,21.76,2.55
373,wajir,0,ke,1561622179,41,1.75,40.07,30.76,9.41
374,port lincoln,100,au,1561621634,65,-34.72,135.86,17.66,9.16
375,nichinan,75,jp,1561621607,88,31.65,131.31,26.0,3.1
376,ancona,1,it,1561622180,88,41.04,-88.87,22.22,2.52
377,lavrentiya,100,ru,1561622180,97,65.58,-170.99,7.46,3.24
378,copiapo,0,cl,1561622181,81,-27.37,-70.33,11.0,2.6
379,alihe,21,cn,1561622181,51,50.57,123.73,18.96,4.62
380,san patricio,0,mx,1561621626,85,-26.98,-56.83,5.66,2.22
381,dawei,100,mm,1561622182,75,14.07,98.19,28.66,6.5
382,nelson bay,40,au,1561622182,72,-32.72,152.14,17.22,2.1
383,lakhnadon,84,in,1561622182,48,22.6,79.61,32.16,5.39
384,vestmannaeyjar,90,is,1561622183,100,63.44,-20.27,11.0,4.6
385,sayyan,79,ye,1561622183,15,15.17,44.32,34.46,8.06
386,mul,100,in,1561622183,40,20.07,79.68,37.56,3.34
387,acapulco,40,mx,1561621997,88,16.86,-99.88,28.0,1.5
388,hope,1,us,1561622184,88,33.67,-93.59,23.0,1.09
389,segovia,0,co,1561621984,27,40.95,-4.12,30.56,5.1
390,awbari,59,ly,1561621383,16,26.59,12.77,35.66,4.4
391,lompoc,40,us,1561621667,93,34.64,-120.46,14.44,2.6
392,jutai,100,br,1561622185,99,-1.71,-47.89,21.36,1.07
393,lorengau,10,pg,1561621661,84,-2.02,147.27,26.86,3.32
394,meulaboh,71,id,1561622186,64,4.14,96.13,29.56,3.32
395,ossora,93,ru,1561621495,65,59.24,163.07,12.56,1.27
396,jiazi,20,cn,1561622186,56,19.61,110.49,36.0,3.0
397,hearst,75,ca,1561622187,96,49.69,-83.67,12.46,2.83
398,praia,0,cv,1561622187,77,-20.25,-43.81,17.0,0.85
399,sapulpa,1,us,1561621948,83,36.0,-96.11,26.0,3.1
400,oktyabrskoye,0,ru,1561622188,42,56.73,85.44,27.0,4.0
401,dakoro,0,ne,1561622188,39,14.51,6.76,32.26,6.22
402,jardim,100,br,1561622189,96,-21.48,-56.15,14.76,2.11
403,whitehorse,75,ca,1561622189,76,60.72,-135.06,13.0,1.5
404,caconda,0,ao,1561622189,28,-13.73,15.06,22.86,1.78
405,milkovo,20,ru,1561622190,43,41.53,24.68,31.0,4.6
406,kasongo-lunda,4,cd,1561622190,28,-6.48,16.82,29.36,1.5
407,piacabucu,96,br,1561622190,88,-10.41,-36.43,23.86,4.99
408,choya,27,ru,1561622191,31,52.01,86.55,27.86,2.04
409,mathbaria,100,bd,1561622191,44,22.29,89.96,37.26,6.73
410,nantucket,90,us,1561622191,93,41.28,-70.1,18.33,2.1
411,itarema,90,br,1561621690,97,-2.92,-39.92,22.16,2.88
412,sao sebastiao,56,br,1561622192,96,-3.15,-58.36,22.06,0.92
413,hami,0,cn,1561622192,9,42.84,93.51,29.96,6.36
414,port arthur,40,us,1561622193,100,29.9,-93.93,27.0,1.28
415,samana,13,do,1561622193,98,0.12,-76.97,20.16,0.77
416,yozgat,51,tr,1561622193,60,39.82,34.81,22.16,4.43
417,kavieng,100,pg,1561622194,73,-2.57,150.8,29.56,5.81
418,morondava,0,mg,1561622194,58,-20.3,44.28,25.56,2.9
419,de-kastri,25,ru,1561622194,56,51.48,140.77,15.36,1.92
420,marshfield,90,us,1561622195,100,42.09,-70.71,19.44,2.1
421,sfantu gheorghe,0,ro,1561622195,62,44.65,26.83,30.0,3.6
422,perth,75,au,1561622193,71,-31.95,115.86,15.0,6.2
423,oistins,40,bb,1561622196,74,13.07,-59.53,27.0,10.3
424,leh,32,in,1561622197,63,34.16,77.58,3.16,2.84
425,jacareacanga,71,br,1561622197,79,-6.22,-57.76,21.36,0.85
426,hondo,90,us,1561622197,88,29.35,-99.14,25.0,3.1
427,husavik,0,is,1561622198,83,50.56,-96.99,15.0,1.97
428,abbeville,20,us,1561621615,77,50.11,1.83,20.0,4.6
429,kudahuvadhoo,81,mv,1561622198,71,2.67,72.89,28.46,0.79
430,goulburn,0,au,1561622199,81,-34.75,149.72,8.89,2.09
431,miri,27,my,1561621656,46,10.31,9.75,31.06,1.43
432,moron,100,mn,1561622199,84,18.56,-74.26,26.16,3.14
433,katobu,0,id,1561622200,63,-4.94,122.53,26.16,3.36
434,matveyevka,0,ru,1561622200,41,54.92,83.08,26.0,4.0
435,kloulklubed,90,pw,1561622201,94,7.04,134.26,25.0,6.7
436,springbok,0,za,1561622201,16,-29.67,17.88,13.0,4.6
437,rapina,90,ee,1561622201,87,58.1,27.46,15.0,1.0
438,masty,75,by,1561622202,73,53.42,24.54,21.0,11.0
439,saint-joseph,0,re,1561622202,49,43.56,6.97,33.33,1.0
440,vila,0,vu,1561622203,66,45.18,8.4,33.33,2.6
441,batagay-alyta,61,ru,1561622203,34,67.8,130.41,20.46,0.34
442,saint-pierre,7,pm,1561622204,78,48.95,4.24,28.33,5.7
443,nsoko,0,sz,1561622204,43,-27.07,31.93,20.76,2.25
444,abu kamal,0,sy,1561622205,14,34.45,40.92,40.16,4.85
445,cap malheureux,40,mu,1561622205,74,-19.98,57.61,26.0,6.2
446,bathsheba,40,bb,1561622206,74,13.22,-59.52,27.0,10.3
447,pacific grove,40,us,1561621646,82,36.62,-121.92,15.56,2.6
448,yarmouth,90,ca,1561622207,87,43.84,-66.12,14.44,2.6
449,saldanha,26,za,1561622207,53,41.42,-6.55,23.36,1.79
450,axim,99,gh,1561622208,84,4.87,-2.24,25.56,3.72
451,tessalit,0,ml,1561622208,28,20.2,1.01,35.26,4.25
452,ust-kuyga,71,ru,1561622208,22,70.0,135.55,27.36,1.52
453,bowen,75,au,1561622209,88,-20.01,148.25,21.11,6.2
454,onda,4,es,1561622209,61,39.96,-0.26,28.33,1.0
455,luorong,92,cn,1561622209,76,24.41,109.6,31.46,5.47
456,beira,20,mz,1561622210,93,43.2,-8.36,19.44,1.22
457,provideniya,100,ru,1561622210,95,64.42,-173.23,8.16,1.18
458,erenhot,100,cn,1561622211,19,43.65,111.97,27.56,8.24
459,manado,75,id,1561622192,66,1.49,124.85,30.0,1.0
460,vanavara,94,ru,1561622211,31,60.35,102.28,28.96,3.19
461,beipiao,100,cn,1561622212,27,41.8,120.76,32.26,8.78
462,pimenta bueno,0,br,1561622212,97,-11.68,-61.19,20.56,1.0
463,bourail,100,nc,1561622212,94,-21.57,165.5,19.06,1.98
464,zmeinogorsk,0,ru,1561622213,40,51.15,82.2,26.76,2.2
465,cervo,99,es,1561622213,83,-22.19,-46.24,15.86,2.19
466,aki,75,jp,1561621935,94,33.51,133.91,24.0,3.1
467,mackay,40,au,1561621627,93,53.65,-115.58,8.0,1.17
468,sur,0,om,1561621686,28,22.57,59.53,38.96,1.38
469,kirakira,100,sb,1561622214,82,-10.46,161.92,26.66,1.87
470,celestun,100,mx,1561622215,76,20.87,-90.4,27.36,6.63
471,lexington,1,us,1561622073,77,38.05,-84.5,22.0,1.5
472,albertville,0,us,1561622215,57,45.68,6.39,28.33,1.0
473,dudinka,100,ru,1561622215,61,69.41,86.18,8.0,8.0
474,poronaysk,1,ru,1561622216,61,49.22,143.1,14.76,4.44
475,imatra,90,fi,1561622216,82,61.17,28.77,16.67,1.5
476,samarkand,40,uz,1561622217,16,39.65,66.98,35.0,4.1
477,plotnikovo,0,ru,1561622217,41,55.04,83.4,26.0,4.0
478,sawakin,6,sd,1561622217,8,19.1,37.33,41.26,4.07
479,alta floresta,53,br,1561622218,72,-9.87,-56.08,19.86,1.35
480,boyolangu,33,id,1561622218,64,-8.09,111.9,24.86,4.37
481,verkhnyaya inta,98,ru,1561622218,46,65.99,60.32,18.26,6.32
482,kobryn,75,by,1561622219,53,52.21,24.36,24.0,9.0
483,sovetskiy,56,ru,1561622219,66,56.76,48.47,14.76,2.93
484,ugoofaaru,100,mv,1561622220,73,5.67,73.0,28.66,4.66
485,arlit,52,ne,1561621692,23,18.74,7.39,36.06,4.64
486,honningsvag,99,no,1561622220,77,70.98,25.97,5.86,12.42
487,chengde,100,cn,1561622220,26,40.97,117.93,32.16,5.2
488,maseru,11,ls,1561622221,57,-29.31,27.48,13.96,8.06
489,ayna,0,pe,1561622221,64,38.55,-2.07,22.78,3.1
490,bay roberts,40,ca,1561621680,100,47.58,-53.28,7.22,1.5
491,turan,100,ru,1561622222,36,52.15,93.92,22.76,2.94
492,aklavik,90,ca,1561621779,65,68.22,-135.01,7.0,1.5
493,kieta,100,pg,1561622223,72,-6.22,155.63,28.66,3.39
494,superior,1,us,1561622223,58,39.95,-105.17,18.33,2.1
495,luderitz,0,na,1561621634,93,-26.65,15.16,8.0,2.1
496,monrovia,90,lr,1561622224,94,6.33,-10.8,24.0,3.44
497,debre tabor,100,et,1561622224,49,11.86,38.01,23.36,3.87
498,port hedland,60,au,1561621638,47,-20.31,118.58,26.0,4.6
499,chirongui,0,yt,1561622225,65,-12.93,45.15,28.0,5.1
500,limon,1,hn,1561622225,71,39.26,-103.69,19.44,2.1
501,barcelos,91,br,1561622225,98,-0.97,-62.93,22.46,1.02
502,bahia honda,93,cu,1561622226,77,22.9,-83.16,27.76,6.8
503,hofn,97,is,1561622076,94,64.25,-15.21,6.86,5.65
504,hovd,75,mn,1561622226,87,63.83,10.7,11.0,11.3
505,pilar,0,ph,1561622227,65,-34.46,-58.91,10.0,5.1
506,kondinskoye,74,ru,1561622227,46,59.65,67.41,15.96,4.3
507,tekeli,0,kz,1561622227,16,44.86,78.76,33.46,3.0
508,cunen,99,gt,1561622228,90,15.34,-91.03,13.89,0.89
509,maromitsa,44,ru,1561622228,39,59.87,48.01,19.26,2.34
510,mbarara,54,ug,1561622228,68,-0.61,30.65,22.56,1.97
511,sinnamary,100,gf,1561622229,87,5.38,-52.96,25.76,7.15
512,usinsk,100,ru,1561621643,53,66.0,57.56,17.16,6.03
513,maracaju,48,br,1561622141,97,-21.61,-55.17,14.36,1.59
514,canutama,69,br,1561622230,98,-6.53,-64.38,21.86,0.45
515,evanston,1,us,1561622231,94,42.04,-87.69,21.11,2.6
516,itapetinga,32,br,1561622015,98,-15.25,-40.25,16.26,0.13
517,mitu,0,co,1561622231,19,36.2,46.09,31.96,3.2
518,chapais,75,ca,1561622232,100,49.78,-74.86,13.0,1.0
519,namatanai,42,pg,1561622232,79,-3.66,152.44,26.86,4.16
520,moroni,20,km,1561622232,74,35.09,24.92,28.89,10.3
521,flin flon,70,ca,1561621688,88,54.77,-101.88,11.56,1.34
522,masallatah,0,ly,1561622233,43,32.62,14.0,28.76,3.12
523,anloga,100,gh,1561622233,91,5.79,0.9,24.06,3.22
524,englehart,1,ca,1561622234,77,47.82,-79.87,15.0,2.6
525,tanete,5,id,1561622234,75,-3.94,119.78,27.96,3.55
526,challapata,0,bo,1561622234,27,-18.9,-66.78,3.26,1.3
527,boissevain,1,ca,1561621966,100,49.23,-100.06,17.78,3.33
528,college,75,us,1561621999,48,64.86,-147.8,19.0,0.49
529,fairbanks,75,us,1561621582,43,64.84,-147.72,21.0,0.49
530,saint-augustin,40,ca,1561622235,88,45.63,-73.98,20.0,3.1
531,black river,20,jm,1561622236,78,18.03,-77.85,28.0,2.1
532,grand gaube,40,mu,1561622236,74,-20.01,57.66,26.0,6.2
533,havelock,1,us,1561622236,83,34.88,-76.9,25.56,0.21
534,gopalur,61,in,1561622237,48,16.62,77.8,33.46,6.9
535,srednekolymsk,33,ru,1561622237,32,67.46,153.71,20.76,9.38
536,poum,20,nc,1561622237,53,41.28,20.71,25.0,2.1
537,shakiso,94,et,1561622238,69,5.77,38.9,18.86,1.45
538,koungheul,53,sn,1561622238,57,13.98,-14.8,28.56,4.6
539,kassala,48,sd,1561622238,32,15.45,36.38,36.06,6.34
540,baishishan,3,cn,1561622239,61,43.58,127.55,26.16,3.07
541,charters towers,0,au,1561622239,56,-20.07,146.27,20.26,4.44
542,finnsnes,75,no,1561622239,61,69.23,17.98,9.0,9.8
543,mount gambier,69,au,1561621688,59,-37.83,140.78,16.0,5.1
544,nossa senhora da gloria,60,br,1561622240,96,-10.22,-37.42,19.86,2.71
545,phan thiet,77,vn,1561622076,60,10.93,108.1,30.26,5.16
546,natal,20,br,1561621642,88,-5.81,-35.21,23.0,2.6
547,ambovombe,42,mg,1561622241,82,-25.18,46.09,22.46,11.44
548,dryden,1,ca,1561622241,77,49.79,-92.84,15.0,3.6
549,burnie,100,au,1561622242,93,-41.05,145.91,9.16,1.91
550,uribia,13,co,1561622242,76,11.71,-72.27,25.06,5.43
551,bud,75,no,1561622242,76,62.91,6.91,12.0,4.6
552,novhorodka,0,ua,1561622243,36,48.37,32.66,27.0,3.0
553,hare bay,75,ca,1561622243,76,48.86,-53.99,11.0,3.1
554,hobyo,37,so,1561622243,42,5.35,48.53,32.06,11.64
555,mason city,1,us,1561622244,93,43.15,-93.2,21.0,2.87
556,kuching,75,my,1561622244,59,1.56,110.34,34.0,1.0
557,alyangula,40,au,1561622245,57,-13.85,136.42,26.0,4.6
558,micomeseng,99,gq,1561622245,77,2.15,10.62,24.16,0.78
559,hervey bay,40,au,1561622245,68,-25.3,152.85,20.0,7.2
560,sibolga,100,id,1561622246,70,1.74,98.78,29.26,3.36
561,fayetteville,1,us,1561622246,94,36.06,-94.16,23.0,2.36
562,yunyang,82,cn,1561622247,35,32.84,110.81,25.56,4.74
563,sarh,72,td,1561622247,64,9.14,18.39,28.86,1.9
564,tiznit,100,ma,1561622247,90,29.7,-9.73,19.56,8.28
565,carthage,1,us,1561622248,94,32.16,-94.34,22.0,1.44
566,vaitape,2,pf,1561622248,71,-16.52,-151.75,26.76,0.93
567,police,75,pl,1561622249,63,53.55,14.57,17.78,7.7
568,great yarmouth,75,gb,1561622249,82,52.61,1.73,17.22,5.7
569,oppdal,82,no,1561622249,74,62.6,9.69,9.16,4.65
570,ornskoldsvik,75,se,1561622070,44,63.29,18.72,16.0,7.7
571,neryungri,33,ru,1561622250,42,56.66,124.71,21.26,2.51
572,bonthe,100,sl,1561622250,87,7.53,-12.5,24.16,3.2
573,rio gallegos,40,ar,1561621678,79,-51.62,-69.22,-4.0,6.7
574,malindi,75,ke,1561621664,69,-3.22,40.12,28.0,9.3
